,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT_x,AMT_ANNUITY_x,AMT_GOODS_PRICE_x,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START_x,HOUR_APPR_PROCESS_START_x,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,SK_ID_BUREAU,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,DAYS_CREDIT_UPDATE,AMT_ANNUITY_y,MIN_MONTH,AVERAGE_LOAN_TYPE,ACTIVE_LOANS_PERCENTAGE,DAYS_DIFF,CREDIT_ENDDATE_PERCENTAGE,DEBT_CREDIT_RATIO,OVERDUE_DEBT_RATIO,AVG_CREDITDAYS_PROLONGED,SK_ID_PREV,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,SK_DPD,SK_DPD_DEF,INSTALLMENTS_PER_LOAN,CREDIT_LOAD,DPD_COUNT,AVG_DPD,PERCENTAGE_MISSED_PAYMENTS,CASH_CARD_RATIO,DRAWINGS_RATIO,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT_y,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE_y,WEEKDAY_APPR_PROCESS_START_y,HOUR_APPR_PROCESS_START_y,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT_x,DAYS_DECISION_x,SELLERPLACE_AREA,CNT_PAYMENT_x,DAYS_FIRST_DRAWING_x,DAYS_FIRST_DUE_x,DAYS_LAST_DUE_1ST_VERSION_x,DAYS_LAST_DUE_x,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL,DIFF_APP_CRE_x,DOWN_PERCENTAGE_x,DIFF_APP_GOODS_x,DIFF_CRE_GOODS_x,FLAG_DOWN_x,TOT_CNT_PAYMENT,CNT_PAYMENT_y,TOT_RATE_DOWN_PAYMENT,RATE_DOWN_PAYMENT_y,TOT_DIFF_APP_CRE,DIFF_APP_CRE_y,TOT_DOWN_PERCENTAGE,DOWN_PERCENTAGE_y,TOT_DIFF_APP_GOODS,DIFF_APP_GOODS_y,TOT_DIFF_CRE_GOODS,DIFF_CRE_GOODS_y,TOT_FLAG_DOWN,FLAG_DOWN_y,TOT_DAYS_LAST_DUE,DAYS_LAST_DUE_y,TOT_DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE_1ST_VERSION_y,TOT_DAYS_FIRST_DUE,DAYS_FIRST_DUE_y,TOT_DAYS_FIRST_DRAWING,DAYS_FIRST_DRAWING_y,TOT_DAYS_DECISION,DAYS_DECISION_y
1103,101357,0.0,Cash loans,F,0.0,1.0,0,76500.0,254700.0,24939.0,225000.0,ALONE,Pensioner,Secondary / secondary special,Married,House / apartment,0.028663,43.0,365243,-6646.0,-4148,-1.0,1,0,0,1,1,1,,2.0,2,2,WEED,8,0,0,0,0,0,0,XNA,0.8703792437914173,0.6651237981361401,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5638.6123,53325.0,51727.5,3082.5,53325.0,0.0,10.5,1.0,1.0,0.054454546,-2421.0,58.0,12.0,365243.0,-2380.0,-2050.0,-2125.0,-2112.0,0.5,1.0245987,0.055555556,1.0245987,0.983,1.0,12.0,24.0,0.054454546,0.054454546,1.0245987,1.0245987,0.055555556,0.055555556,1.0245987,1.0245987,0.983,0.983,1.0,1.0,-2125.0,-2306.0,-2050.0,-2156.0,-2380.0,-2486.0,365243.0,365243.0,-2421.0,-2326.0
2121,102598,0.0,Cash loans,M,1.0,1.0,0,157500.0,404325.0,22063.5,337500.0,ALONE,Working,Secondary / secondary special,Married,House / apartment,0.016612,43.0,-3938,-7980.0,-2340,18.0,1,1,1,1,1,0,2,2.0,2,2,WEED,10,0,0,0,0,0,0,Housing,,0.5038286356182814,0.2678689358444539,1.0,0.0,1.0,0.0,-1914.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,6509218.333333333,-1116.9333333333334,0.0,-350.0,-667.6667,0.0,0.0,269056.38,102506.4,0.0,0.0,-504.6666666666667,14645.944,-36.266666666666666,7.5,0.2,151.6,0.2,0.38098484,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16685.51,325532.1,371087.1,485.1,406915.12,0.2,11.466666666666667,1.0,1.0,0.021781819,-533.7333333333333,280.93333333333334,35.81818,365243.0,-1083.3334,-533.3333,-663.3333,-656.6667,-0.73333335,0.9415918,0.022222223,0.9415918,1.070338,1.0,35.81818,394.0,0.021781819,0.021781819,0.9415918,0.9415918,0.022222223,0.022222223,0.9415918,0.9415918,1.070338,1.070338,1.0,1.0,-663.3333,-1606.0,-533.3333,-1606.0,-1083.3334,-1876.0,365243.0,365243.0,-533.7333333333333,-143.0
2532,103089,0.0,Cash loans,M,1.0,1.0,2,77625.0,312768.0,17095.5,270000.0,ALONE,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0038179999999999,43.0,-164,-5117.0,-4244,17.0,1,1,1,1,1,1,5,4.0,2,2,WEED,5,0,0,0,0,0,0,Other,,0.6891717367557492,,2.0,0.0,2.0,0.0,-732.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6689.295,66375.0,66375.0,0.0,66375.0,0.0,4.0,1.0,1.0,0.0,-272.0,124.0,12.0,365243.0,-241.0,89.0,365243.0,365243.0,0.0,1.0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,365243.0,365243.0,89.0,89.0,-241.0,-241.0,365243.0,365243.0,-272.0,-272.0
5442,106655,0.0,Cash loans,F,1.0,1.0,1,180000.0,983299.5,41791.5,904500.0,ALONE,Commercial associate,Higher education,Married,House / apartment,0.025164,43.0,-1873,-2162.0,-3550,7.0,1,1,0,1,0,0,4,3.0,2,2,WEED,11,0,0,0,0,0,0,Business Entity Type 3,0.5958382894783096,0.4611288483125929,0.4489622731076524,0.0,0.0,0.0,0.0,-1039.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,5446974.833333333,-1337.75,0.0,3282.818,-1245.75,0.0,0.08333333333333333,404632.8,70742.74,0.0,0.0,-636.75,0.0,-43.416666666666664,4.0,0.3333333333333333,220.41666666666666,0.5833333333333334,0.17483196,0.0,0.08333333333333333,2583931.0,-23.5,0.0,285000.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,18265.607,369498.94,435004.88,14067.0,422284.5,0.125,10.375,1.0,1.0,0.25379968,-1300.25,253.125,24.5,365243.0,59655.332,60040.332,59840.332,-1058.5,0.125,0.9535917,0.33050302,0.9535917,0.94548887,1.0,24.5,196.0,0.25379968,0.25379968,0.9535917,0.9535917,0.33050302,0.33050302,0.9535917,0.9535917,0.94548887,0.94548887,1.0,1.0,59840.332,-2655.0,60040.332,-2625.0,59655.332,-2715.0,365243.0,365243.0,-1300.25,-1330.0
6308,107716,0.0,Cash loans,F,0.0,0.0,0,157500.0,170640.0,9922.5,135000.0,ALONE,Working,Higher education,Married,House / apartment,0.035792,43.0,-1089,-9369.0,-2728,-1.0,1,1,0,1,0,0,,2.0,2,2,WEED,11,0,0,0,0,0,0,Other,0.7886838369173009,0.5904140373225129,0.4507472818545589,3.0,0.0,3.0,0.0,-338.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,5435404.0,-1312.0,0.0,-107.833336,-870.75,1440.0,0.0,151569.64,8633.571,0.0,0.0,-160.14285714285714,,,3.5,0.42857142857142855,356.85714285714283,0.5714285714285714,0.056961086,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6629.535,42271.07,42066.645,4026.75,49316.25,0.42857142857142855,14.142857142857142,1.0,1.0,0.068675466,-1622.142857142857,404.7142857142857,9.666667,365243.0,-1805.0,-1545.0,-1630.0,-1626.1666,0.2857143,0.9991685,0.08362476,0.9991685,1.0201164,1.0,9.666667,58.0,0.068675466,0.068675466,0.9991685,0.9991685,0.08362476,0.08362476,0.9991685,0.9991685,1.0201164,1.0201164,1.0,1.0,-1630.0,-2069.0,-1545.0,-2001.0,-1805.0,-2331.0,365243.0,365243.0,-1622.142857142857,-2193.0
6593,108065,0.0,Cash loans,M,1.0,0.0,0,157500.0,254700.0,28867.5,225000.0,ALONE,Pensioner,Secondary / secondary special,Married,House / apartment,0.016612,43.0,365243,-693.0,-3660,7.0,1,0,0,1,0,0,,2.0,2,2,WEED,17,0,0,0,0,0,0,XNA,0.2522751002096401,0.3594894138812213,0.2445163919946749,2.0,1.0,2.0,1.0,-1465.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5863673.0,-936.4444444444445,3.2222222222222223,914.1111,-1065.25,0.0,0.0,897396.0,557454.0,0.0,1.5,-318.22222222222223,867.2143,-30.333333333333332,3.0,0.5555555555555556,194.88888888888889,0.7777777777777778,0.62119067,2.6908049e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7889.73,55482.75,62480.25,3102.75,55482.75,0.0,16.75,1.0,1.0,0.060127165,-1729.75,637.5,12.0,365243.0,-1767.3334,-1437.3334,-1547.3334,-1543.3334,0.0,0.9207634,0.062061206,0.9207634,1.098191,1.0,12.0,36.0,0.060127165,0.060127165,0.9207634,0.9207634,0.062061206,0.062061206,0.9207634,0.9207634,1.098191,1.098191,1.0,1.0,-1547.3334,-1876.0,-1437.3334,-1846.0,-1767.3334,-2176.0,365243.0,365243.0,-1729.75,-1594.0
8132,109935,0.0,Cash loans,M,1.0,1.0,2,112500.0,545040.0,25407.0,450000.0,ALONE,Working,Secondary / secondary special,Married,House / apartment,0.016612,43.0,-349,-1948.0,-2230,14.0,1,1,1,1,1,0,2,4.0,2,2,WEEKEND,13,0,0,0,0,1,1,Self-employed,,0.3289637380178166,0.6577838002083306,4.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,5749462.0,-1061.111111111111,0.0,-537.7778,-1071.1666,0.0,0.0,145169.45,51800.44,0.0,0.0,-642.8888888888889,,,4.5,0.3333333333333333,194.55555555555554,0.3333333333333333,0.35682744,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7236.27,81664.5,86458.5,4794.75,81664.5,0.3333333333333333,11.0,1.0,1.0,0.11604184,-1355.0,23.333333333333332,16.0,365243.0,-1318.3334,-868.3333,-878.3333,-873.6667,0.33333334,1.0106375,0.11931506,1.0106375,0.9986491,1.0,16.0,48.0,0.11604184,0.11604184,1.0106375,1.0106375,0.11931506,0.11931506,1.0106375,1.0106375,0.9986491,0.9986491,1.0,1.0,-878.3333,-1424.0,-868.3333,-1424.0,-1318.3334,-1754.0,365243.0,365243.0,-1355.0,-1785.0
10771,113199,0.0,Cash loans,F,1.0,0.0,0,427500.0,1129500.0,36567.0,1129500.0,FAMILY,Working,Higher education,Married,House / apartment,0.072508,43.0,-622,-13231.0,-1520,7.0,1,1,1,1,1,0,4,2.0,1,1,WEEKEND,14,0,0,0,0,0,0,Other,,0.7705089640713009,0.4525335592581747,0.0,0.0,0.0,0.0,-507.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,5041042.5,-1206.5,0.0,260.25,-788.5,,0.0,2500312.5,943145.44,0.0,0.0,-151.625,,,4.0,0.5,247.125,0.5,0.37721103,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25882.516,173640.0,157717.5,39069.0,260460.0,0.3333333333333333,15.666666666666666,1.0,1.0,0.15441747,-416.3333333333333,23.666666666666668,11.0,365243.0,-476.0,-206.0,-206.0,-200.0,-0.6666667,1.1044511,0.16877425,1.1044511,0.90830165,1.0,11.0,22.0,0.15441747,0.15441747,1.1044511,1.1044511,0.16877425,0.16877425,1.1044511,1.1044511,0.90830165,0.90830165,1.0,1.0,-206.0,-206.0,-206.0,-206.0,-476.0,-476.0,365243.0,365243.0,-416.3333333333333,-507.0
12352,115154,0.0,Cash loans,F,0.0,0.0,1,112500.0,885501.0,35248.5,715500.0,FAMILY,Working,Lower secondary,Married,House / apartment,0.010643,43.0,-154,-6180.0,-4144,-1.0,1,1,0,1,0,0,2,3.0,2,2,WEED,15,0,0,0,0,0,0,Business Entity Type 3,0.4327876352703981,0.674198406843736,0.7981372313187245,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5758382.5,-1479.5,0.0,-932.0,-1210.0,0.0,0.0,38025.074,0.0,0.0,0.0,-1081.6666666666667,,,3.0,0.16666666666666666,310.0,0.16666666666666666,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19615.725,51277.5,53984.25,0.0,102555.0,0.0,15.5,1.0,1.0,0.0,-135.5,177.0,6.0,365243.0,-217.0,-67.0,-67.0,-60.0,-0.5,0.9498604,0.0,0.9498604,1.0527864,0.0,6.0,6.0,0.0,0.0,0.9498604,0.9498604,0.0,0.0,0.9498604,0.9498604,1.0527864,1.0527864,0.0,0.0,-67.0,-67.0,-67.0,-67.0,-217.0,-217.0,365243.0,365243.0,-135.5,-251.0
13514,116576,0.0,Cash loans,F,1.0,1.0,0,90000.0,260568.0,25515.0,247500.0,FAMILY,Pensioner,Secondary / secondary special,Married,House / apartment,0.005084,43.0,365243,-10190.0,-4654,13.0,1,0,0,1,0,0,,2.0,2,2,WEEKEND,11,0,0,0,0,0,0,XNA,,0.4301197363853919,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005020.0,-48.5,4812.162,29062.5,0.0,92.8125,92.8125,0.0,784.7114,1077.8611,1064.8046,4609.7725,4806.3604,4806.3604,0.0,0.020833333333333332,0.020833334,0.0,21.510416,0.0,0.0,23.0,0.3886337673611111,0.0,0.0,0.0,0.0,445500.0,7556.715,81090.0,81090.0,0.0,81090.0,1.0,16.0,1.0,1.0,0.0,-155.0,1600.0,12.0,365243.0,-125.0,205.0,365243.0,365243.0,0.0,1.0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,365243.0,365243.0,205.0,205.0,-125.0,-125.0,365243.0,365243.0,-155.0,-155.0
17641,121679,0.0,Cash loans,F,0.0,1.0,0,90000.0,254700.0,14751.0,225000.0,ALONE,Pensioner,Secondary / secondary special,Married,House / apartment,0.031329,43.0,365243,-13730.0,-4724,-1.0,1,0,0,1,0,0,,2.0,2,2,WEED,9,0,0,0,0,0,0,XNA,,0.2653799534379413,0.3185955240537633,2.0,1.0,2.0,1.0,-536.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5064510.0,-802.2307692307693,0.0,-615.7,-920.1429,0.0,0.0,104564.33,24298.57,3400.7908,0.0,-449.61538461538464,,,6.5,0.46153846153846156,135.46153846153845,0.46153846153846156,0.23237915,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12856.095,126000.0,137484.0,,189000.0,0.0,9.333333333333334,1.0,1.0,,-434.8333333333333,-1.0,18.0,365243.0,-472.25,37.75,91064.25,91068.5,0.16666667,0.9424969,,0.9424969,1.0627,0.0,18.0,72.0,,,0.9424969,0.9424969,,,0.9424969,0.9424969,1.0627,1.0627,0.0,0.0,91064.25,-513.0,37.75,-513.0,-472.25,-843.0,365243.0,365243.0,-434.8333333333333,-357.0
20743,125475,0.0,Cash loans,M,1.0,0.0,1,225000.0,1006920.0,42660.0,900000.0,ALONE,Working,Secondary / secondary special,Single / not married,House / apartment,0.010556,43.0,-1981,-4681.0,-3000,11.0,1,1,0,1,0,0,2,2.0,3,3,WEED,17,0,0,0,1,1,0,Medicine,,0.4088019050930744,0.6041125998015721,0.0,0.0,0.0,0.0,-443.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,2.0,6313994.5,-1426.375,0.0,1747.0,-1237.0,0.0,0.0,1249240.5,689503.5,0.0,0.0,-626.75,,,2.6666666666666665,0.5,118.0,0.375,0.5519382,0.0,0.0,1729798.0,-8.5,27413.89,784285.7142857143,24230.77,53617.73,0.0,33511.402,2295.7104,54777.992,52482.28,27207.459,27492.928,27492.928,0.23076923,3.142857142857143,0.0,3.1538463,4.642857,0.0,0.0,8.0,0.22510034939236112,0.0,0.0,7.142857142857143,41.96373,1706018.75,29584.553,343635.0,342511.5,13090.5,515452.5,0.3333333333333333,17.0,1.0,1.0,0.101381294,-715.0,-0.3333333333333333,5.0,182405.5,-990.0,181964.5,-733.5,181969.0,-0.33333334,1.0132141,0.10264281,1.0132141,0.9871262,1.0,5.0,10.0,0.101381294,0.101381294,1.0132141,1.0132141,0.10264281,0.10264281,1.0132141,1.0132141,0.9871262,0.9871262,1.0,1.0,-733.5,-1314.0,181964.5,-1314.0,-990.0,-1584.0,182405.5,-432.0,-715.0,-443.0
21200,126023,0.0,Cash loans,F,0.0,0.0,0,58500.0,284400.0,16011.0,225000.0,FAMILY,Pensioner,Secondary / secondary special,Separated,Municipal apartment,0.032561,43.0,365243,-13476.0,-4108,-1.0,1,0,0,1,1,0,,1.0,1,1,WEED,14,0,0,0,0,0,0,XNA,,0.7942051413275927,0.6397075677637197,5.0,1.0,5.0,1.0,-1529.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,5086300.5,-1530.75,0.0,-1361.0,-1313.0,0.0,0.0,149766.28,0.0,94500.0,0.0,-832.5,,,2.0,0.5,589.25,0.25,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12640.186,103582.93,106461.64,2523.0,103582.93,0.14285714285714285,13.0,1.0,1.0,0.034511853,-1964.2857142857142,238.42857142857142,11.142858,365243.0,-1881.8334,-1581.8334,-1581.8334,-1568.3334,0.5714286,0.98388046,0.03501787,0.98388046,1.0192722,1.0,11.142858,78.0,0.034511853,0.034511853,0.98388046,0.98388046,0.03501787,0.03501787,0.98388046,0.98388046,1.0192722,1.0192722,1.0,1.0,-1581.8334,-2375.0,-1581.8334,-2375.0,-1881.8334,-2525.0,365243.0,365243.0,-1964.2857142857142,-2276.0
24353,129856,0.0,Cash loans,M,0.0,0.0,0,324000.0,1288350.0,37053.0,1125000.0,FAMILY,Working,Secondary / secondary special,Married,House / apartment,0.01885,43.0,-486,-2620.0,-1919,-1.0,1,1,0,1,0,0,2,2.0,2,2,WEED,17,0,0,0,0,0,0,Business Entity Type 3,0.4076032349277931,0.5620037006330016,0.2925880073368475,1.0,1.0,1.0,1.0,-47.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,1.0,5515592.714285715,-2013.0,0.0,-1010.1667,-1345.0,7272.105,0.0,279060.44,75469.5,10829.64,0.0,-939.4285714285714,4951.278,-65.71428571428571,3.5,0.2857142857142857,193.42857142857142,0.2857142857142857,0.2704414,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9684.468,133960.72,138442.5,2268.27,160752.88,0.6666666666666666,16.333333333333332,1.0,1.0,0.040175285,-285.3333333333333,344.5,18.8,365243.0,-303.6,230.4,146020.2,146022.0,0.0,0.97856385,0.045231514,0.97856385,1.0310639,1.0,18.8,94.0,0.040175285,0.040175285,0.97856385,0.97856385,0.045231514,0.045231514,0.97856385,0.97856385,1.0310639,1.0310639,1.0,1.0,146020.2,-197.0,230.4,-18.0,-303.6,-708.0,365243.0,365243.0,-285.3333333333333,-7.0
25786,131599,0.0,Cash loans,M,1.0,0.0,0,360000.0,2250000.0,59355.0,2250000.0,ALONE,State servant,Secondary / secondary special,Married,House / apartment,0.04622,43.0,-6812,-12676.0,-3466,1.0,1,1,0,1,1,0,2,2.0,1,1,WEED,10,0,0,0,0,0,0,Military,,0.7654593036265686,0.6347055309763198,0.0,0.0,0.0,0.0,-919.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,1.0,6819205.5,-669.0,0.0,397.0,-973.0,,0.0,3542649.8,3378237.8,0.0,0.0,-508.0,,,2.0,0.5,610.0,0.5,0.9535907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4621.4775,85905.0,87324.75,0.0,85905.0,0.5,16.5,1.0,1.0,0.0,-847.0,1000.0,18.0,365243.0,-816.0,-306.0,-501.0,-488.0,0.0,0.95227647,0.0,0.95227647,1.0527592,0.0,18.0,36.0,0.0,0.0,0.95227647,0.95227647,0.0,0.0,0.95227647,0.95227647,1.0527592,1.0527592,0.0,0.0,-501.0,-624.0,-306.0,-414.0,-816.0,-888.0,365243.0,365243.0,-847.0,-919.0
29003,135492,0.0,Cash loans,M,1.0,0.0,0,166500.0,647046.0,17199.0,463500.0,ALONE,Working,Secondary / secondary special,Married,With parents,0.010032,43.0,-474,-6110.0,-3409,7.0,1,1,0,1,0,0,2,2.0,2,2,WEED,10,0,0,0,0,0,0,Transport: type 2,,0.3805683434910913,0.4382813743111921,0.0,0.0,0.0,0.0,-225.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,5909819.5,-940.0,0.0,-744.0,-745.0,0.0,0.0,67283.59,0.0,0.0,0.0,-744.0,,,2.0,0.0,84.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32519.453,271500.0,274016.25,,814500.0,0.0,6.5,1.0,1.0,,-135.33333333333334,-1.0,36.0,365243.0,-193.0,137.0,-133.0,-128.0,-0.6666667,0.97433245,,0.97433245,1.0270565,0.0,36.0,72.0,,,0.97433245,0.97433245,,,0.97433245,0.97433245,1.0270565,1.0270565,0.0,0.0,-133.0,-133.0,137.0,137.0,-193.0,-193.0,365243.0,365243.0,-135.33333333333334,-91.0
